Area_Locality,Society_Name,Numeric_Price,Title,BHK
Porur,Arch Tech Lake View Apts,16000000,3 BHK Apartment for Sale in Porur Chennai,3
Omr,Waterford Apartment,6709999,2 BHK Apartment for Sale in OMR Chennai,2
Guduvancheri,Chaitanya Sunnyvale,4940000,2 BHK Apartment for Sale in Guduvancheri Chennai,2
Hasthinapuram,Baashyaam Le Chalet Smart Choice Homes,5960000,2 BHK Builder Floor for Sale in Hasthinapuram Chennai,2
Siruseri,Isha Yara,7000000,3 BHK Apartment for Sale in Siruseri Chennai,3
Mahindra World City,Radiance Flourish,5960000,3 BHK Apartment for Sale in Mahindra World City Chennai,3
Pallikaranai,Stepsstone Anans,8780000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Madhavaram,Bharathi Brik House,13700000,3 BHK Apartment for Sale in Madhavaram Chennai,3
Karapakkam,Brigade Residences,13500000,3 BHK Apartment for Sale in Karapakkam Chennai,3
Kattupakkam,Arumbakkam,5000000,2 BHK Apartment for Sale in Kattupakkam Chennai,2
Thiruporur,Gt Cholayil Residency,6000000,3 BHK Apartment for Sale in Thiruporur Chennai,3
Adambakkam,Vgn Krona,80000000,2 BHK Apartment for Sale in Adambakkam Chennai,2
Avadi,Encore Sri Sai Enclave,7500000,3 BHK Apartment for Sale in Avadi Chennai,3
Siruseri,Urbanrise City Of Joy,7450000,3 BHK Apartment for Sale in Siruseri Chennai,3
Zone 11 Padur,Regency Residency Regalia,6200000,2 BHK Apartment for Sale in Zone 11 Padur Chennai,2
Urapakkam,Bscpl Bollineni Zion,3300000,2 BHK Apartment for Sale in Urapakkam Chennai,2
Thirumullaivoyal,Elite Pride,5000000,2 BHK Apartment for Sale in Thirumullaivoyal Chennai,2
Padur,Aishwaryam Majestica,5100000,2 BHK Apartment for Sale in Padur Chennai,2
Omr,Gp Homes Blazing Star,9500000,2 BHK Apartment for Sale in OMR Chennai,2
Padupakkam,Arihant Frangipani,13000000,3 BHK Apartment for Sale in Padupakkam Chennai,3
Madipakkam,Jd Yashika,9290000,3 BHK Builder Floor for Sale in Madipakkam Chennai,3
Adyar,Vbhc Vaibhava Oragadam,22900000,3 BHK Apartment for Sale in Adyar Chennai,3
Eldams Road,T.Nagar Bharath,8500000,2 BHK Builder Floor for Sale in Eldams Road Chennai,2
