Area_Locality,Society_Name,Numeric_Price,Title,BHK
Peerkankaranai,Coromandel Park,4500000,2 BHK Apartment for Sale in Peerkankaranai Chennai,2
Omr,Marutham Heritage,4200000,2 BHK Apartment for Sale in OMR Chennai,2
Guduvancheri,Quanta Annapoorni,6000000,2 BHK Apartment for Sale in Guduvancheri Chennai,2
Perumbakkam,Isha Anandham,5500000,2 BHK Builder Floor for Sale in Perumbakkam Chennai,2
Potheri,Darshan Aishwaryam,2300000,2 BHK Builder Floor for Sale in Potheri Chennai,2
Kk Nagar,Pacifica Aurum,4000000,2 BHK Builder Floor for Sale in KK Nagar Chennai,2
Zamin Pallavaram,Bhoomi White Rose,6000000,2 BHK Builder Floor for Sale in Zamin Pallavaram Chennai,2
Kattankulathur,Lancor Townsville,4000000,2 BHK Builder Floor for Sale in Kattankulathur Chennai,2
Dasaratha Puram,Akshaya Today,13799999,3 BHK Builder Floor for Sale in Dasaratha Puram Chennai,3
Nolambur,Sai Paradise,6800000,2 BHK Apartment for Sale in Nolambur Chennai,2
Guduvancheri,Sobha Meritta,7020000,3 BHK Apartment for Sale in Guduvancheri Chennai,3
Kovilambakkam,Casagrand Tudor,7700000,3 BHK Apartment for Sale in Kovilambakkam Chennai,3
Poonamallee,Pragnya Eden Park,6000000,3 BHK Apartment for Sale in Poonamallee Chennai,3
Guduvancheri,Radiance Icon,3800000,2 BHK Apartment for Sale in Guduvancheri Chennai,2
Medavakkam,Prestige Courtyards,11000000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Sowrastra Nagar,Gemini Homes,7000000,2 BHK Apartment for Sale in Sowrastra Nagar Chennai,2
Tambaram Sanatoruim,Vgn Brixton,10000000,3 BHK Apartment for Sale in Tambaram Sanatoruim Chennai,3
Arumbakkam,Pdotg Matrix,13000000,3 BHK Apartment for Sale in Arumbakkam Chennai,3
Puzhuthivakkam,Antony The Pathway,11500000,3 BHK Apartment for Sale in Puzhuthivakkam Chennai,3
Kattankulathur,Casagrand Utopia,4530000,2 BHK Apartment for Sale in Kattankulathur Chennai,2
Ramapuram,Purva Windermere,9010000,3 BHK Builder Floor for Sale in Ramapuram Chennai,3
Siruseri,Jain Sudarsana,7000000,3 BHK Apartment for Sale in Siruseri Chennai,3
Srinivasapuram,Isha Anandham,7990000,2 BHK Apartment for Sale in Srinivasapuram Chennai,2
Alwartirunagar,Mp Dior,9980000,3 BHK Apartment for Sale in Alwartirunagar Chennai,3
Mogappair West Ambattur Industrial Estate,Marutham Heritage,6500000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Alwartirunagar,Sare Crescent Parc,14600000,3 BHK Apartment for Sale in Alwartirunagar Chennai,3
Kilpauk,Prince Village Phase 1,20800000,3 BHK Apartment for Sale in Kilpauk Chennai,3
Urapakkam,Akshaya Tango,3900000,2 BHK Apartment for Sale in Urapakkam Chennai,2
Ramachandra Nagar Kolapakkam,Vgn Stafford,4330000,2 BHK Apartment for Sale in Ramachandra Nagar Kolapakkam Chennai,2
Korattur,Akshaya Today,7500000,2 BHK Builder Floor for Sale in Korattur Chennai,2
Adambakkam,Porur Square,8500000,2 BHK Apartment for Sale in Adambakkam Chennai,2
Mogappair West Ambattur Industrial Estate,Janyas Kamalam,4600000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Anna Nagar,Navins Silver Oak,23500000,3 BHK Apartment for Sale in Anna Nagar Chennai,3
Adyar,Unitech Unihomes 1,62500000,3 BHK Apartment for Sale in Adyar Chennai,3
Alwartirunagar,Avr Amber,20000000,3 BHK Apartment for Sale in Alwartirunagar Chennai,3
Egmore,Casagrand Millenia,25500000,3 BHK Apartment for Sale in Egmore Chennai,3
Thiruvanmiyur,Dlf Commanders Court,30000000,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,3
Perumbakkam,Casagrand Zenith,8500000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Big Star,Greata Pearl,13500000,3 BHK Apartment for Sale in Big Star Chennai,3
Kk Nagar,Vriksham Vedanta,25000000,3 BHK Apartment for Sale in KK Nagar Chennai,3
Padur,Nova Meridian,5600000,3 BHK Apartment for Sale in Padur Chennai,3
Porur,Cc Vinayaka,11100000,2 BHK Apartment for Sale in Porur Chennai,2
T Nagar,Isha Yara,34900000,3 BHK Apartment for Sale in T Nagar Chennai,3
Chengalpattu,Dabc Aishwaryam Phase Ii,3200000,2 BHK Builder Floor for Sale in Chengalpattu Chennai,2
Egattur,Alliance Galleria Residences,28000000,3 BHK Apartment for Sale in Egattur Chennai,3
Kolathur,Sri Aishwarya Apartments,4900000,2 BHK Apartment for Sale in Kolathur Chennai,2
Karapakkam,Brigade Xanadu Phase Ii,10500000,2 BHK Apartment for Sale in Karapakkam Chennai,2
Singaperumal Koil,Appaswamy Splendour,6590000,2 BHK Apartment for Sale in Singaperumal Koil Chennai,2
Nungambakkam,Aishwaryam Majestica,26000000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
Nungambakkam,Aditya Srikrishna,27500000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
Thiruvanmiyur,Arun Excello Haripriya,18000000,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,3
Manapakkam,Arun Excello Haripriya,9480000,2 BHK Apartment for Sale in Manapakkam Chennai,2
Uthandi,Shriram Shankari,9000000,2 BHK Builder Floor for Sale in Uthandi Chennai,2
Mogappair West Ambattur Industrial Estate,Vgn Southern Avenue,6800000,2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,2
Adambakkam,Anupam Flats,16200000,3 BHK Apartment for Sale in Adambakkam Chennai,3
Valmiki Nagar,Urbanrise Revolution One,12800000,2 BHK Apartment for Sale in Valmiki Nagar Chennai,2
Radha Nagar Chromepet,Sare Crescent Parc Dewy Terraces,4500000,2 BHK Apartment for Sale in Radha Nagar Chromepet Chennai,2
Kattankulathur,Rc West Minster,4800000,2 BHK Apartment for Sale in Kattankulathur Chennai,2
Madambakkam,Newry Park Towers,6500000,3 BHK Apartment for Sale in Madambakkam Chennai,3
Thaiyur,Kgeyes Samyuktha,4500000,2 BHK Apartment for Sale in Thaiyur Chennai,2
Adyar,Tvs Emerald Peninsula,37600000,3 BHK Apartment for Sale in Adyar Chennai,3
The Marvel Tower Indira Nagar Adyar,Arun Excello Saranga,18900000,2 BHK Apartment for Sale in The Marvel Tower Indira Nagar Adyar Chennai,2
Kamaraj Nagar Choolaimedu,Doshi Etopia I,12500000,2 BHK Apartment for Sale in Kamaraj Nagar Choolaimedu Chennai,2
Nanganallur,Horizon Residences,6500000,2 BHK Apartment for Sale in Nanganallur Chennai,2
Nemilichery,Arun Excello Temple Green,5700000,2 BHK Builder Floor for Sale in Nemilichery Chennai,2
Senneer Kuppam,Happy Windows,4870000,2 BHK Apartment for Sale in Senneer Kuppam Chennai,2
Madhavaram,Shriram Shankari,16000000,3 BHK Apartment for Sale in Madhavaram Chennai,3
Sunguvarchatram,Tvs Emerald Peninsula,4350000,2 BHK Builder Floor for Sale in Sunguvarchatram Chennai,2
Guduvancheri,Ramaniyam Isha,4300000,2 BHK Builder Floor for Sale in Guduvancheri Chennai,2
Gandhi Nagar Porur,Sidharth Upscale,11200000,2 BHK Apartment for Sale in Gandhi Nagar Porur Chennai,2
Triplicane,Kumaran Nagar Flats,10600000,2 BHK Apartment for Sale in Triplicane Chennai,2
Urapakkam,Serene Acres,5340000,2 BHK Apartment for Sale in Urapakkam Chennai,2
Tambaram West Tambaram,Rainbow Paradise,4800000,2 BHK Apartment for Sale in Tambaram West Tambaram Chennai,2
Manapakkam,Sare Crescent Parc Dewy Terraces,17000000,3 BHK Apartment for Sale in Manapakkam Chennai,3
Karapakkam,Rms Ashirwad,16000000,3 BHK Apartment for Sale in Karapakkam Chennai,3
Korattur,Prince Village Phase 1,4300000,2 BHK Apartment for Sale in Korattur Chennai,2
Navalur,Ambrosia,7000000,3 BHK Apartment for Sale in Navalur Chennai,3
Sambandham Nagar,Shantha Towers,4500000,2 BHK Apartment for Sale in Sambandham Nagar Chennai,2
Ekkatuthangal,Sai Niketan,9000000,2 BHK Apartment for Sale in Ekkatuthangal Chennai,2
Kamarajapuram Sembakkam,Asvini Amanya Phase I,6000000,2 BHK Apartment for Sale in Kamarajapuram Sembakkam Chennai,2
Perungudi,Vijay Shanthi Apartment,25600000,3 BHK Apartment for Sale in Perungudi Chennai,3
Chettipunyam,Sai Niketan,4500000,2 BHK Apartment for Sale in Chettipunyam Chennai,2
Mogappair,Blucon Pristine,8000000,2 BHK Apartment for Sale in Mogappair Chennai,2
Sri Kapaleeswarar Nagar,Unitech Gardens,11000000,2 BHK Apartment for Sale in Sri Kapaleeswarar Nagar Chennai,2
Medavakkam,Tvs Emerald Peninsula,15500000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Korattur,Tulip Korattur,8300000,2 BHK Builder Floor for Sale in Korattur Chennai,2
Medavakkam,Shriram Park 63,8000000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Kk Nagar,Pinnacle Apartments,6400000,2 BHK Apartment for Sale in KK Nagar Chennai,2
Pozhichalur,Urbanrise Revolution One,6100000,2 BHK Builder Floor for Sale in Pozhichalur Chennai,2
Perungudi,Ruby Flamingo,14900000,3 BHK Apartment for Sale in Perungudi Chennai,3
Padur,Surya Apartments,5700000,2 BHK Apartment for Sale in Padur Chennai,2
Pallikaranai,Prince Residenzia,9800000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Ambattur,Brigade Xanadu,4000000,2 BHK Apartment for Sale in Ambattur Chennai,2
Perambur,Embassy Residency,7900000,2 BHK Apartment for Sale in Perambur Chennai,2
Senneer Kuppam,Sbioa Unity Enclave,5000000,2 BHK Apartment for Sale in Senneer Kuppam Chennai,2
Harrington Road,Marutham Apartments,30000000,3 BHK Apartment for Sale in Harrington Road Chennai,3
Padapai,Casagrand First City,2900000,2 BHK Apartment for Sale in Padapai Chennai,2
Senthil Nagar Kolathur,Real Value Neel Kamal,9000000,2 BHK Apartment for Sale in Senthil Nagar Kolathur Chennai,2
Pammal,Velavan Flats,9000000,2 BHK Apartment for Sale in Pammal Chennai,2
Medavakkam,Casagrand Utopia,11500000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Urapakkam,Mantri Navaratna,8000000,3 BHK Apartment for Sale in Urapakkam Chennai,3
Mugalivakkam,Bhaggyam Griha,15000000,3 BHK Apartment for Sale in Mugalivakkam Chennai,3
Kundrathur,Thiru Aavinan Kudi,4000000,2 BHK Apartment for Sale in Kundrathur Chennai,2
Chepauk,Kg Signature City,10400000,2 BHK Apartment for Sale in Chepauk Chennai,2
Perumbakkam,Sk Tejas,5900000,2 BHK Apartment for Sale in Perumbakkam Chennai,2
Sholinganallur,Purva Windermere,9000000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
Mambakkam Sriperumbudur,Amarprakash Temple Waves,6000000,3 BHK Apartment for Sale in Mambakkam Sriperumbudur Chennai,3
T Nagar,Featherlite Vaikuntam,12500000,2 BHK Apartment for Sale in T Nagar Chennai,2
Vijaya Nagar Velachery,Adroit Prosper,15600000,3 BHK Apartment for Sale in Vijaya Nagar Velachery Chennai,3
Omr,Lancor Tcp Altura,8000000,2 BHK Apartment for Sale in OMR Chennai,2
Ss Flats Vaishnavi Nagar Perumattunallur Guduvancheri,Krs Ganesha,3200000,2 BHK Apartment for Sale in ss flats vaishnavi Nagar perumattunallur guduvancheri Chennai,2
Iyyappanthangal,Aks Sunstone,3500000,2 BHK Builder Floor for Sale in Iyyappanthangal Chennai,2
Koyambedu,Ramky Rwd Lemongraz,11000000,2 BHK Apartment for Sale in Koyambedu Chennai,2
Pammal,Alliance Orchid Springs,6100000,2 BHK Apartment for Sale in Pammal Chennai,2
Madipakkam,Hpk Star Vembs,8000000,2 BHK Apartment for Sale in Madipakkam Chennai,2
Poonamallee,Sspdl Mayfair Apartments,6800000,2 BHK Builder Floor for Sale in Poonamallee Chennai,2
Thirumazhisai,Kundrathur New Town,5600000,2 BHK Apartment for Sale in Thirumazhisai Chennai,2
Adyar,Urban Tree Oxygen,8500000,2 BHK Apartment for Sale in Adyar Chennai,2
Kodambakkam,Guru Rao Enclave,19000000,3 BHK Apartment for Sale in Kodambakkam Chennai,3
Sholinganallur,Arun Excello Chandrika,11100000,3 BHK Apartment for Sale in Sholinganallur Chennai,3
Moonram Kattalai,Serene Acres,5800000,2 BHK Apartment for Sale in Moonram Kattalai Chennai,2
Thoraipakkam,Radiance Suprema,7300000,2 BHK Apartment for Sale in Thoraipakkam Chennai,2
Poonamallee,Alliance Apartment,6500000,3 BHK Apartment for Sale in Poonamallee Chennai,3
Saligramam,Amarprakash The Royal Castle,30000000,3 BHK Apartment for Sale in Saligramam Chennai,3
Sriperumbudur,Amarprakash Palm Riviera,3000000,2 BHK Apartment for Sale in Sriperumbudur Chennai,2
Poes Garden,Dra Harmony,43200000,2 BHK Apartment for Sale in Poes Garden Chennai,2
Iyyappanthangal,Elegant Emperor,6500000,3 BHK Apartment for Sale in Iyyappanthangal Chennai,3
Padur,Casagrand Utopia,9640000,3 BHK Apartment for Sale in Padur Chennai,3
Velachery,Pragnya Eden Park,8900000,2 BHK Apartment for Sale in Velachery Chennai,2
Thoraipakkam,Sanjay Home Opera,7000000,2 BHK Apartment for Sale in Thoraipakkam Chennai,2
Adyar,The Crown,45000000,3 BHK Apartment for Sale in Adyar Chennai,3
Ekkatuthangal,Jai Balaji Avenue,21600000,3 BHK Apartment for Sale in Ekkatuthangal Chennai,3
Omr,S And P Living Spaces,7900000,2 BHK Apartment for Sale in OMR Chennai,2
Golden George Nagar,Casagrand Miro,10000000,2 BHK Apartment for Sale in Golden George Nagar Chennai,2
Nungambakkam,Vgn Brixton,8300000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
Sholinganallur,Bscpl Bollineni Zion,7900000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
Rajaji Nagar Thiruvanmiyur,Vgn Southern Avenue,11000000,2 BHK Builder Floor for Sale in Rajaji Nagar Thiruvanmiyur Chennai,2
Nesapakkam,Sri Lakshmi Nivasam,8309999,2 BHK Apartment for Sale in Nesapakkam Chennai,2
Mogappair,Hiliving Royal Evita,20000000,3 BHK Apartment for Sale in Mogappair Chennai,3
Sholinganallur,Unihomes,15000000,3 BHK Apartment for Sale in Sholinganallur Chennai,3
Poonamallee,Shriram Shankari,3600000,2 BHK Apartment for Sale in Poonamallee Chennai,2
Anakaputhur,Akshaya,5010000,2 BHK Apartment for Sale in Anakaputhur Chennai,2
Sholinganallur,Sai Raksha,8230000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
Kilpauk,The Grand Palacey Navalur,25299999,3 BHK Builder Floor for Sale in Kilpauk Chennai,3
Kodambakkam,Spr City Highliving District,18500000,3 BHK Builder Floor for Sale in Kodambakkam Chennai,3
Kattukuppam,Vijay Shanthi Lotus Pond,11000000,3 BHK Apartment for Sale in Kattukuppam Chennai,3
Perungudi,Grand Southern Towers,12800000,2 BHK Apartment for Sale in Perungudi Chennai,2
Guduvancherry,Navins Sanctum,4220000,2 BHK Builder Floor for Sale in Guduvancherry Chennai,2
Kilpauk,Dra Skylantis,20000000,3 BHK Builder Floor for Sale in Kilpauk Chennai,3
Guduvancherry,Hansa Jade,4210000,2 BHK Apartment for Sale in Guduvancherry Chennai,2
Guduvancherry,Royale Meadows,3000000,2 BHK Apartment for Sale in Guduvancherry Chennai,2
Gopalapuram,Ashok Manor,54000000,3 BHK Apartment for Sale in Gopalapuram Chennai,3
Velachery,Mint Apartments,8500000,2 BHK Apartment for Sale in Velachery Chennai,2
Nerkundram,Pace Anusa,16000000,3 BHK Builder Floor for Sale in Nerkundram Chennai,3
Perungudi,Ceedeeyes Chennai Pattinam,17500000,3 BHK Apartment for Sale in Perungudi Chennai,3
Poonamallee,Amarprakash The Heritage,9000000,3 BHK Apartment for Sale in Poonamallee Chennai,3
West Mambalam,Sri Devi,22599999,3 BHK Builder Floor for Sale in West Mambalam Chennai,3
Madhavaram,Kasturibhai Nagar,11000000,3 BHK Builder Floor for Sale in Madhavaram Chennai,3
Anna Nagar,Vgn Royale,26500000,3 BHK Apartment for Sale in Anna Nagar Chennai,3
Soorapattu,Iniya Illam Maruthi Nagar,8000000,2 BHK Apartment for Sale in Soorapattu Chennai,2
Dhandeeswaram,Handsel Tulip Ii,16800000,3 BHK Apartment for Sale in Dhandeeswaram Chennai,3
Vadapalani,Central Excise Colony,12500000,3 BHK Apartment for Sale in Vadapalani Chennai,3
Rajakilpakkam,Ramaniyam Aradhana,8980000,3 BHK Apartment for Sale in Rajakilpakkam Chennai,3
Velachery,Parameswaran Vihar,33500000,3 BHK Apartment for Sale in Velachery Chennai,3
Madha Nagar Madhanandapuram,Arunachala Enclave,7180000,2 BHK Apartment for Sale in Madha Nagar Madhanandapuram Chennai,2
Kazhipattur,Arun Excello Temple Green,8600000,3 BHK Apartment for Sale in Kazhipattur Chennai,3
Neelankarai,Doshi Nakshatra I,11000000,2 BHK Apartment for Sale in Neelankarai Chennai,2
Adyar,Crown Residences,31500000,3 BHK Apartment for Sale in Adyar Chennai,3
Madipakkam,Casagrand Athens,6500000,2 BHK Apartment for Sale in Madipakkam Chennai,2
Nungambakkam,Tata Value Homes Santorini,32500000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
Besant Nagar,Pace Aagam,45000000,3 BHK Apartment for Sale in Besant Nagar Chennai,3
Navalur,Vgn Notting Hill,7500000,3 BHK Apartment for Sale in Navalur Chennai,3
Kattupakkam,Nithin Flats,18500000,3 BHK Apartment for Sale in Kattupakkam Chennai,3
Puthagaram Korattur,Sri Siddhi Vinayak Nivas,5500000,2 BHK Apartment for Sale in Puthagaram Korattur Chennai,2
Tambaram,Sri Raghavendra Apartments,5100000,2 BHK Apartment for Sale in Tambaram Chennai,2
Mahindra World City,Akshaya The Belvedere,5400000,2 BHK Apartment for Sale in Mahindra World City Chennai,2
Thoraipakkam,Casagrand Builder Northern Star,6800000,2 BHK Apartment for Sale in Thoraipakkam Chennai,2
Vengadamangalam,Rohaan Rose Garden,4000000,2 BHK Builder Floor for Sale in Vengadamangalam Chennai,2
Balaji Nagar Perungalathur,Falling Waters,6900000,2 BHK Apartment for Sale in Balaji Nagar Perungalathur Chennai,2
Potheri,Lakshmi Homes,4000000,2 BHK Apartment for Sale in Potheri Chennai,2
Mrc Nagar,Casagrand Zenith,95000000,3 BHK Apartment for Sale in MRC Nagar Chennai,3
Koyambedu,Incor Pbel City,10700000,2 BHK Apartment for Sale in Koyambedu Chennai,2
Saligramam,Urbanrise Revolution One,14000000,3 BHK Apartment for Sale in Saligramam Chennai,3
Raja Annamalai Puram,Tvs Emerald Lighthouse,52500000,3 BHK Apartment for Sale in Raja Annamalai Puram Chennai,3
Padmavathi Nagar Iyyappanthangal,Bharathi Elements,9100000,3 BHK Apartment for Sale in Padmavathi Nagar Iyyappanthangal Chennai,3
T Nagar,Sneha Apartment,31900000,3 BHK Apartment for Sale in T Nagar Chennai,3
Guduvancherry,Casagrand Zenith,5430000,2 BHK Apartment for Sale in Guduvancherry Chennai,2
Valasaravakkam,Arun Excello Temple Green,9130000,2 BHK Apartment for Sale in Valasaravakkam Chennai,2
Telephone Nagar,Doshi Etopia I,7300000,2 BHK Builder Floor for Sale in Telephone Nagar Chennai,2
Valasaravakkam,Brigade Xanadu Phase Ii,14200000,3 BHK Builder Floor for Sale in Valasaravakkam Chennai,3
Gopalapuram,Sithalapakkam,14000000,2 BHK Apartment for Sale in Gopalapuram Chennai,2
Perambur,Godrej Palmgrove,9500000,2 BHK Apartment for Sale in Perambur Chennai,2
Kasturba Nagar Adyar,Svs Nagar,22700000,2 BHK Apartment for Sale in Kasturba Nagar Adyar Chennai,2
Tirumurthy Nagar,Mantri Navaratna,32500000,3 BHK Apartment for Sale in Tirumurthy Nagar Chennai,3
Anna Nagar,Anusha Garden,26500000,3 BHK Apartment for Sale in Anna Nagar Chennai,3
Kolapakkam,Godrej Palmgrove,5700000,2 BHK Builder Floor for Sale in Kolapakkam Chennai,2
Mogappair West Ambattur Industrial Estate,Sbioa Unity Enclave,13500000,3 BHK Builder Floor for Sale in Mogappair West Ambattur Industrial Estate Chennai,3
Perungudi,Puravankara Purva Swanlake,17900000,3 BHK Apartment for Sale in Perungudi Chennai,3
Egmore,Shri Krishna Brindavan,44000000,3 BHK Apartment for Sale in Egmore Chennai,3
Aminjikarai,Navins Whiteberry,7500000,2 BHK Apartment for Sale in Aminjikarai Chennai,2
Aminjikarai,Casagrand Aristo,18500000,3 BHK Apartment for Sale in Aminjikarai Chennai,3
Avadi,Ak Garden,5300000,2 BHK Apartment for Sale in Avadi Chennai,2
Medavakkam,Sabari Serenity,7500000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Poes Garden,Osian Chlorophyll,105000000,3 BHK Apartment for Sale in Poes Garden Chennai,3
Raja Annamalai Puram,Nutech Elevate 21,47200000,3 BHK Apartment for Sale in Raja Annamalai Puram Chennai,3
Railway Colony Aminjikarai,Hannahs Elim,9000000,3 BHK Apartment for Sale in Railway Colony Aminjikarai Chennai,3
Nungambakkam,Kg Signature City Phase Ii,49000000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
Porur,Chenthurs Swas,15000000,3 BHK Apartment for Sale in Porur Chennai,3
Valasaravakkam,Acon Sai Duruv,6500000,2 BHK Apartment for Sale in Valasaravakkam Chennai,2
Thiruvanmiyur,Saligramam,18900000,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,3
Adyar,Appaswamy Victoria Garden,45000000,3 BHK Apartment for Sale in Adyar Chennai,3
Kilpauk,Arun Excello Compact Homes Manjari,11000000,3 BHK Apartment for Sale in Kilpauk Chennai,3
Pallikaranai,Palmera Garden,8600000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Ambattur,Aakam Hygrevar Aura,4650000,2 BHK Apartment for Sale in Ambattur Chennai,2
Teynampet,Mango Farm,8740000,2 BHK Apartment for Sale in Teynampet Chennai,2
Thiruvanmiyur,Yoga Hayagrivar Flats,29200000,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,3
Aminjikarai,Ashiana Shubham Phase 2,4100000,2 BHK Apartment for Sale in Aminjikarai Chennai,2
Kolapakkam,Casagrand First City,7000000,2 BHK Apartment for Sale in Kolapakkam Chennai,2
Adyar,Indiras Emerald,35100000,3 BHK Apartment for Sale in Adyar Chennai,3
Egmore,Kvk Kolathur,30000000,3 BHK Apartment for Sale in Egmore Chennai,3
Kelambakkam,Compact Homes Lathangi,8000000,3 BHK Apartment for Sale in Kelambakkam Chennai,3
Koyambedu,Akshaya Tango,27500000,3 BHK Apartment for Sale in Koyambedu Chennai,3
Nelson Manickam Road,The Mondrian,10000000,2 BHK Apartment for Sale in Nelson Manickam Road Chennai,2
Ram Nagar Velachery,Urbanise Revolution One,8200000,2 BHK Apartment for Sale in Ram Nagar Velachery Chennai,2
Egattur,Shirdi,13500000,2 BHK Apartment for Sale in Egattur Chennai,2
Kodambakkam,Emerald Enclave,10500000,2 BHK Apartment for Sale in Kodambakkam Chennai,2
Navalur,Rajparis Crystal Spring,7500000,2 BHK Apartment for Sale in Navalur Chennai,2
Abiramapuram,Himayams Kolathur Annapoorna Apartments,55000000,3 BHK Apartment for Sale in Abiramapuram Chennai,3
Padapai,Kriticons Aristo,2500000,2 BHK Apartment for Sale in Padapai Chennai,2
Annanagar East,Sj Nanmangalam,28000000,3 BHK Builder Floor for Sale in Annanagar East Chennai,3
Mrc Nagar,Eskay Homes,92000000,3 BHK Apartment for Sale in MRC Nagar Chennai,3
Thoraipakkam,Mma Dream Nest Apartment,9800000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
New Avadi Road,Risland The Ace,5340000,3 BHK Apartment for Sale in New Avadi Road Chennai,3
Kelambakkam,Vme Lakeside Phase Ii,5000000,2 BHK Apartment for Sale in Kelambakkam Chennai,2
Tambaram,Jrf Flats,5000000,2 BHK Apartment for Sale in Tambaram Chennai,2
Tambaram,Housing Bored,6500000,2 BHK Apartment for Sale in Tambaram Chennai,2
Pammal,Sk Tejas,11500000,3 BHK Apartment for Sale in Pammal Chennai,3
Thirumudivakkam,Urbanise Revolution One,3500000,3 BHK Apartment for Sale in Thirumudivakkam Chennai,3
Thazhambur,The Crest,7700000,3 BHK Apartment for Sale in Thazhambur Chennai,3
Sembakkam,Altis Oceanique,7000000,2 BHK Apartment for Sale in Sembakkam Chennai,2
Porur,Sakhi Square,8500000,2 BHK Apartment for Sale in Porur Chennai,2
Perungalathur,Sai Darbar,4000000,2 BHK Builder Floor for Sale in Perungalathur Chennai,2
Padur,Jayants Ranga Apartments,6100000,3 BHK Apartment for Sale in Padur Chennai,3
Tambaram,Crown Residences,6200000,2 BHK Apartment for Sale in Tambaram Chennai,2
"Marg Pushpadruma, Kalavakkam,",Mgp Kuberan Nagar,3000000,"2 BHK Apartment for Sale in Marg Pushpadruma, Kalavakkam, Chennai,Marg Pushpadruma, Kalavakkam, Chennai Chennai",2
Perungalathur,Perungalathur Homes,5520000,2 BHK Apartment for Sale in Perungalathur Chennai,2
Oragadam,Rainbow Apartments,9000000,3 BHK Apartment for Sale in Oragadam Chennai,3
Kundrathur,Mahindra Aqualily,3500000,2 BHK Apartment for Sale in Kundrathur Chennai,2
Mugalivakkam,Ssvk Soundaryam,13899999,3 BHK Apartment for Sale in Mugalivakkam Chennai,3
Padur,Sri Sai Raggav,5700000,2 BHK Apartment for Sale in Padur Chennai,2
Kelambakkam,Alacrity Subodaya,3100000,2 BHK Apartment for Sale in Kelambakkam Chennai,2
Mogappair West Ambattur Industrial Estate,Casagrand Supremus,9500000,3 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,3
Kelambakkam,Creations Genesis,4500000,2 BHK Apartment for Sale in Kelambakkam Chennai,2
Vijayalakshmi Nagar Nanmangalam,Gt Cholayil Residency,6000000,2 BHK Apartment for Sale in Vijayalakshmi Nagar Nanmangalam Chennai,2
Padur,Naaghappa Shelters Apricity,7200000,3 BHK Apartment for Sale in Padur Chennai,3
Siruseri,Mahalakshmi Vruksham,5000000,3 BHK Apartment for Sale in Siruseri Chennai,3
Pallikaranai,Geethalaya Apartments,7500000,3 BHK Apartment for Sale in Pallikaranai Chennai,3
Kovur,Dev Karumari,8500000,3 BHK Apartment for Sale in Kovur Chennai,3
"Broadway, George Town",Marg Pushpadruma,15000000,"3 BHK Apartment for Sale in Broadway, George Town Chennai",3
West Saidapet,Navins Starwood Towers 2.0,6500000,2 BHK Apartment for Sale in West Saidapet Chennai,2
Nemili,Alliance Orchid Springs,3600000,2 BHK Apartment for Sale in Nemili Chennai,2
Chembarambakkam,Casagrand Castle,9000000,3 BHK Apartment for Sale in Chembarambakkam Chennai,3
T Nagar,Anusha Castle,26500000,3 BHK Builder Floor for Sale in T Nagar Chennai,3
Kattupakkam,Olympia Opaline,7000000,2 BHK Apartment for Sale in Kattupakkam Chennai,2
Perumbakkam,Vgn Brixton,4200000,2 BHK Apartment for Sale in Perumbakkam Chennai,2
Mambakkam Sriperumbudur,Dinesh Vihar Awho Apartment,9500000,3 BHK Apartment for Sale in Mambakkam Sriperumbudur Chennai,3
Kovur,Royale Sri Sai,7600000,3 BHK Apartment for Sale in Kovur Chennai,3
Ags Colony Velachery,Sis Safaa,8300000,2 BHK Builder Floor for Sale in AGS Colony Velachery Chennai,2
Velachery,Vijay Shanthi Apartment,6900000,2 BHK Apartment for Sale in Velachery Chennai,2
Swaminathan Nagar Kottivakkam,Uniworld City,40000000,2 BHK Builder Floor for Sale in Swaminathan Nagar Kottivakkam Chennai,2
Sholinganallur,Tvs Emerald Elements,5250000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
